HGNC ID	Approved symbol	Status
HGNC:41112	ACOXL-AS1	Approved
HGNC:122	ACP1	Approved
HGNC:123	ACP2	Approved
HGNC:125	ACP3	Approved
HGNC:14376	ACP4	Approved
HGNC:124	ACP5	Approved
HGNC:29609	ACP6	Approved
HGNC:33781	ACP7	Approved
HGNC:126	ACR	Approved
HGNC:17195	ACRBP	Approved
HGNC:127	ACRV1	Approved
HGNC:128	ACS3	Symbol Withdrawn
HGNC:29567	ACSBG1	Approved
HGNC:24174	ACSBG2	Approved
HGNC:26101	ACSF2	Approved
HGNC:27288	ACSF3	Approved
HGNC:3569	ACSL1	Approved
HGNC:3570	ACSL3	Approved
HGNC:40227	ACSL3-AS1	Approved
HGNC:3571	ACSL4	Approved
HGNC:16526	ACSL5	Approved
HGNC:16496	ACSL6	Approved
HGNC:40772	ACSL6-AS1	Approved
HGNC:18049	ACSM1	Approved
HGNC:32017	ACSM2A	Approved
HGNC:30931	ACSM2B	Approved
HGNC:10522	ACSM3	Approved
HGNC:32016	ACSM4	Approved
HGNC:26060	ACSM5	Approved
HGNC:51295	ACSM5P1	Approved
HGNC:31665	ACSM6	Approved
HGNC:16091	ACSS1	Approved
HGNC:15814	ACSS2	Approved
HGNC:24723	ACSS3	Approved
HGNC:129	ACTA1	Approved
HGNC:130	ACTA2	Approved
HGNC:45169	ACTA2-AS1	Approved
HGNC:131	ACTA3	Symbol Withdrawn
HGNC:132	ACTB	Approved
HGNC:17780	ACTBL2	Approved
HGNC:134	ACTBP1	Approved
HGNC:135	ACTBP2	Approved
HGNC:136	ACTBP3	Approved
HGNC:137	ACTBP4	Approved
HGNC:138	ACTBP5	Entry Withdrawn
HGNC:139	ACTBP6	Approved
HGNC:140	ACTBP7	Approved
HGNC:141	ACTBP8	Approved
HGNC:142	ACTBP9	Approved
HGNC:31819	ACTBP10	Approved
HGNC:33971	ACTBP11	Approved
HGNC:150	ACTBP12	Approved
HGNC:44626	ACTBP13	Approved
HGNC:45086	ACTBP14	Approved
HGNC:143	ACTC1	Approved
HGNC:144	ACTG1	Approved
HGNC:146	ACTG1P1	Approved
HGNC:147	ACTG1P2	Approved
HGNC:148	ACTG1P3	Approved
HGNC:149	ACTG1P4	Approved
HGNC:151	ACTG1P6	Approved
HGNC:152	ACTG1P7	Approved
HGNC:153	ACTG1P8	Approved
HGNC:154	ACTG1P9	Approved
HGNC:155	ACTG1P10	Approved
HGNC:37651	ACTG1P11	Approved
HGNC:44496	ACTG1P12	Approved
HGNC:49058	ACTG1P13	Approved
HGNC:49751	ACTG1P14	Approved
HGNC:51495	ACTG1P15	Approved
HGNC:51496	ACTG1P16	Approved
HGNC:51497	ACTG1P17	Approved
HGNC:51498	ACTG1P18	Approved
HGNC:51499	ACTG1P19	Approved
HGNC:51500	ACTG1P20	Approved
HGNC:51501	ACTG1P21	Approved
HGNC:51502	ACTG1P22	Approved
HGNC:51503	ACTG1P23	Approved
HGNC:49661	ACTG1P24	Approved
HGNC:145	ACTG2	Approved
HGNC:156	ACTL2	Symbol Withdrawn
HGNC:157	ACTL3	Symbol Withdrawn
HGNC:158	ACTL4	Entry Withdrawn
HGNC:159	ACTL5	Entry Withdrawn
HGNC:24124	ACTL6A	Approved
HGNC:160	ACTL6B	Approved
HGNC:161	ACTL7A	Approved
HGNC:162	ACTL7B	Approved
HGNC:24018	ACTL8	Approved
HGNC:28494	ACTL9	Approved
HGNC:16127	ACTL10	Approved
HGNC:163	ACTN1	Approved
HGNC:20131	ACTN1-AS1	Approved
HGNC:164	ACTN2	Approved
HGNC:165	ACTN3	Approved
HGNC:166	ACTN4	Approved
HGNC:44028	ACTN4P1	Approved
HGNC:44032	ACTN4P2	Approved
HGNC:51621	ACTP1	Approved
HGNC:167	ACTR1A	Approved
HGNC:168	ACTR1B	Approved
HGNC:169	ACTR2	Approved
HGNC:170	ACTR3	Approved
HGNC:53965	ACTR3-AS1	Approved
HGNC:17256	ACTR3B	Approved
HGNC:37724	ACTR3BP1	Approved
HGNC:38677	ACTR3BP2	Approved
HGNC:38678	ACTR3BP3	Approved
HGNC:38681	ACTR3BP4	Approved
HGNC:38682	ACTR3BP5	Approved
HGNC:38683	ACTR3BP6	Approved
HGNC:37282	ACTR3C	Approved
HGNC:31820	ACTR3P1	Approved
HGNC:38676	ACTR3P2	Approved
HGNC:38679	ACTR3P3	Approved
HGNC:14671	ACTR5	Approved
